id,label,PC1,PC2
iB_02387,1,-7.689143,1.4713452
iB_17254,1,-0.55355424,0.51148194
iB_05129,1,-7.7860413,2.6028786
iB_13151,1,-7.11193,0.56012106
iB_10285,1,-5.5278645,3.2809055
iB_17629,1,-0.8217749,-1.6055337
iB_01362,1,-4.2736754,-5.2110457
iB_14425,1,-5.396781,3.4078214
iB_03708,1,-7.7467313,-1.1386367
iB_15292,1,-6.4049506,-0.97106725
iB_03025,1,-7.035597,0.86339134
iB_15890,1,-4.4603705,-3.4012818
iB_00219,1,-2.3856473,-2.2488155
iB_09401,1,-4.5687003,-7.560845
iB_15600,1,-2.0117846,4.722436
iB_12849,1,-6.2349286,-0.2929831
iB_17042,1,-6.9164762,-3.3060706
iB_03810,1,-7.1120453,3.8085809
iB_04460,1,-7.8899593,0.84638244
iB_10682,1,-5.941909,2.5833573
iB_05494,1,-6.996029,2.6029317
iB_10886,1,-6.198102,3.0583227
iB_06719,1,-7.636913,-2.9118962
iB_17672,1,-3.1168234,1.0926651
iB_06906,1,-6.300704,6.469729
iB_00678,1,-5.9217362,1.6497656
iB_15632,1,-4.518231,-0.78621745
iB_04623,1,-6.898561,1.3097974
iB_04650,1,-7.444542,0.64498645
iB_14941,1,-6.871281,2.021327
iB_03654,1,-8.334386,0.07497355
iB_16698,1,-3.9395943,1.727652
iB_06094,1,-7.699297,3.2879367
iB_01710,1,-7.828822,-1.6471334
iB_00384,1,-7.3214583,0.1741016
iB_13001,1,-6.2293024,4.458995
iB_08280,1,-7.762882,0.5536845
iB_00535,1,-7.8779955,0.55212253
iB_01743,1,-5.8822856,-3.3601763
iB_15831,1,0.39029774,5.737214
iB_06349,1,-7.5265517,1.8765144
iB_05595,1,-7.574193,0.26263157
iB_03931,1,-7.902133,-1.0377584
iB_16803,1,-1.7230096,4.7426233
iB_03220,1,-7.220944,1.8413411
iB_13228,1,1.768188,-7.382682
iB_01235,1,-5.7108154,-0.39665443
iB_04126,1,-7.1742,-0.51057464
iB_00603,1,-7.721337,1.0850818
iB_17064,1,-7.372671,1.157264
iB_13233,1,-6.6658187,2.7412674
iB_08927,1,-6.581058,0.9666569
iB_13601,1,-5.749364,-1.7949265
iB_02636,1,-5.116713,2.5848536
iB_00596,1,-8.178042,-1.3725331
iB_15574,1,-7.5723705,-0.06917615
iB_16268,1,-7.651586,1.2710762
iB_14409,1,-2.069978,-4.8321023
iB_04611,1,-7.1022015,1.2500148
iB_06553,1,-6.5514517,-0.41028336
iB_06274,1,-7.3214364,0.62469155
iB_10232,1,-7.387133,-1.1204604
iB_04969,1,-6.4274464,3.7340038
iB_05872,1,-7.2622128,3.4067614
iB_08809,1,-6.1637735,-0.11854457
iB_17560,1,2.085493,-3.6344972
iB_07287,1,-7.8746414,0.16458184
iB_00435,1,-7.186517,2.9308217
iB_01738,1,-7.544372,-2.760572
iB_09548,1,-7.0972614,0.11689536
iB_03303,1,-7.5481143,-0.63026637
iB_12437,1,-7.236799,1.5387385
iB_12572,1,-5.885925,-2.3876326
iB_10969,1,-5.093088,-2.8553257
iB_05753,1,-6.5855694,2.7723258
iB_15079,1,-5.7124696,3.1779191
iB_01516,1,-7.940735,0.7649028
iB_11016,1,-7.5590415,0.42045066
iB_16156,1,-6.812111,1.7537603
iB_16989,1,-4.6582174,4.4282374
iB_09076,1,-6.116413,-0.49552083
iB_10389,1,-6.5362086,1.8823471
iB_01801,1,-7.87688,2.9590886
iB_10034,1,-6.1993527,-0.44299316
iB_12469,1,-6.685131,-0.4108179
iB_05061,1,-7.4989867,1.5561273
iB_06015,1,-5.8401785,-1.7129812
iB_04199,1,-7.6077914,2.686429
iB_02510,1,-6.8573737,0.55359846
iB_16090,1,-7.553535,-2.3532913
iB_06061,1,-6.530169,1.3526709
iB_05331,1,-7.091193,1.0549452
iB_03347,1,-7.9587946,-1.9096528
iB_02924,1,-4.743795,-1.302176
iB_04717,1,-7.056255,-2.0620692
iB_04670,1,-7.109108,-1.8121032
iB_13928,1,-1.7384237,-2.945456
iB_15085,1,1.0355914,-3.7998948
iB_08188,1,-8.067462,1.5226047
iB_16460,1,-3.1848693,-6.6235304
iB_00401,1,-0.39305788,-2.8120358
iB_15790,1,-8.035179,-0.5127416
iB_16724,1,-4.6194963,5.773253
iB_03507,1,-6.909996,-0.29581112
iB_08696,1,-5.9788437,-2.6483681
iB_00151,1,-7.3416777,0.6618557
iB_05761,1,-7.709416,1.9499576
iB_01084,1,-7.1703115,3.7711883
iB_09995,1,-5.742481,2.9111676
iB_12152,1,-6.8331923,-4.622556
iB_13073,1,-7.2444897,0.7208033
iB_04983,1,-7.8412247,2.7891417
iB_03523,1,-5.6245666,0.8292657
iB_16220,1,-4.0424767,-3.168599
iB_03502,1,-8.109547,-0.06414042
iB_02600,1,-6.192297,2.966544
iB_07367,1,-6.9099617,-3.2907915
iB_07216,1,1.6869664,-6.78994
iB_13143,1,-6.753965,-3.9003263
iB_16186,1,-6.7884,3.42034
iB_17219,1,-5.997425,0.56650686
iB_07200,1,-6.0503325,-2.5877934
iB_09818,1,-5.433908,0.75060856
iB_13560,1,-6.8140945,-3.3639991
iB_17666,1,2.1657448,7.793484
iB_05651,1,-7.6786966,-1.1473714
iB_09886,1,-7.439353,-1.2602074
iB_04196,1,-7.645018,-0.2736895
iB_03612,1,-7.9030986,1.3555089
iB_00628,1,-7.0899568,2.2476149
iB_14849,1,-6.6419334,0.8783345
iB_13534,1,-6.4508286,2.450763
iB_15547,1,-6.34838,-0.051695023
iB_00655,1,-6.848651,1.7529708
iB_04286,1,-7.1654754,-2.2684906
iB_00646,1,-8.074729,-0.063198
iB_10576,1,-3.5200083,5.2035065
iB_16851,1,-6.3092117,0.23839316
iB_12769,1,-7.6750584,-0.23467374
iB_15708,1,-3.5852087,-3.2997696
iB_05594,1,-7.2616706,3.2336514
iB_12422,1,-5.7701764,-2.7595785
iB_09314,1,-6.7288337,0.33107764
iB_10076,1,-6.4655237,-0.5427913
iB_13750,1,-4.1256523,-2.3211627
iB_02648,1,-8.0202875,0.55264974
iB_06712,1,-8.560148,0.52204615
iB_12888,1,-5.9181104,1.5070196
iB_04314,1,-7.638446,-0.22786084
iB_14611,1,-5.697425,-0.24387848
iB_14642,1,-5.6236978,-2.0141246
iB_06019,1,-8.279377,-0.13312015
iB_13281,1,1.2931713,4.081543
iB_04009,1,-7.216042,1.2363453
iB_12984,1,-1.5793854,2.6168847
iB_13794,1,-0.5181095,-3.7100382
iB_00376,1,-7.326527,0.73881507
iB_02205,1,-8.333837,-0.15802933
iB_07600,1,-6.894442,4.2271514
iB_04388,1,-7.5947356,-1.5063785
iB_00209,1,-6.8781357,1.7905391
iB_09406,1,-4.133904,-4.0306234
iB_00414,1,-6.061417,-0.34455684
iB_15323,1,-5.5012884,-2.1282878
iB_01384,1,-7.3629375,1.4285073
iB_14120,1,-7.3696313,0.90952295
iB_03239,1,-6.457278,-1.0626642
